2025-08-18 22:25:31,309 INFO    MainThread:22852 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-08-18 22:25:31,310 INFO    MainThread:22852 [wandb_setup.py:_flush():70] Configure stats pid to 22852
2025-08-18 22:25:31,310 INFO    MainThread:22852 [wandb_setup.py:_flush():70] Loading settings from /home/autolab/.config/wandb/settings
2025-08-18 22:25:31,310 INFO    MainThread:22852 [wandb_setup.py:_flush():70] Loading settings from /home/autolab/wander/Diffusion_OOD_Detection/3_pos_ood_compensation/wandb/settings
2025-08-18 22:25:31,310 INFO    MainThread:22852 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-08-18 22:25:31,310 INFO    MainThread:22852 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/autolab/wander/Diffusion_OOD_Detection/3_pos_ood_compensation/wandb/run-20250818_222531-lm69o7uf/logs/debug.log
2025-08-18 22:25:31,310 INFO    MainThread:22852 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/autolab/wander/Diffusion_OOD_Detection/3_pos_ood_compensation/wandb/run-20250818_222531-lm69o7uf/logs/debug-internal.log
2025-08-18 22:25:31,310 INFO    MainThread:22852 [wandb_init.py:init():852] calling init triggers
2025-08-18 22:25:31,310 INFO    MainThread:22852 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'env': 'halfcheetah-medium-replay-v2', 'ood_env': 'halfcheetah-medium-expert-v2', 'pretrain_epochs': 100000, 'device': 0, 'seed': 0, 'n_samples': 5000, 'batch_size': 256, 'no_normalize': False, 'sigma_max': 80, 'sigma_min': 0.002, 'sigma_data': 0.5, 'action_n_levels': 1, 'state_n_levels': 1, '_wandb': {}}
2025-08-18 22:25:31,310 INFO    MainThread:22852 [wandb_init.py:init():893] starting backend
2025-08-18 22:25:31,310 INFO    MainThread:22852 [wandb_init.py:init():897] sending inform_init request
2025-08-18 22:25:31,398 INFO    MainThread:22852 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-08-18 22:25:31,398 INFO    MainThread:22852 [wandb_init.py:init():907] backend started and connected
2025-08-18 22:25:31,405 INFO    MainThread:22852 [wandb_init.py:init():1005] updated telemetry
2025-08-18 22:25:31,480 INFO    MainThread:22852 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-08-18 22:25:33,313 INFO    MainThread:22852 [wandb_init.py:init():1104] starting run threads in backend
2025-08-18 22:25:33,549 INFO    MainThread:22852 [wandb_run.py:_console_start():2573] atexit reg
2025-08-18 22:25:33,550 INFO    MainThread:22852 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-08-18 22:25:33,551 INFO    MainThread:22852 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-08-18 22:25:33,551 INFO    MainThread:22852 [wandb_run.py:_redirect():2513] Redirects installed.
2025-08-18 22:25:33,555 INFO    MainThread:22852 [wandb_init.py:init():1150] run started, returning control to user process
2025-08-18 23:13:19,977 INFO    MainThread:22852 [wandb_run.py:_finish():2321] finishing run 7ingw-tongji-university/Diffusion-SD/lm69o7uf
2025-08-18 23:13:19,977 INFO    MainThread:22852 [wandb_run.py:_atexit_cleanup():2538] got exitcode: 0
2025-08-18 23:13:19,977 INFO    MainThread:22852 [wandb_run.py:_restore():2520] restore
2025-08-18 23:13:19,977 INFO    MainThread:22852 [wandb_run.py:_restore():2526] restore done
2025-08-18 23:13:23,563 INFO    MainThread:22852 [wandb_run.py:_footer_history_summary_info():4188] rendering history
2025-08-18 23:13:23,564 INFO    MainThread:22852 [wandb_run.py:_footer_history_summary_info():4220] rendering summary
2025-08-18 23:13:23,564 INFO    MainThread:22852 [wandb_run.py:_footer_sync_info():4149] logging synced files
